Location Id,Location,Deployment Id,Deployment,Avg Daily Pulls,Restocking Frequency (per day),OOS Frequency (per day),Avg OOS Duration (hours),OOS-to-Restock Ratio,Velocity-to-Restock Ratio,OOS Duration per Fill,Pulls per Fill
2394,Store B,6,Shelf 6,0.4078947368421053,0.17631578947368418,0.0,0.0,0.0,0.8849607789431129,,1.0115757735396878
2394,Store B,7,Shelf 7,0.4983552631578947,0.19736842105263155,0.0,0.0,0.0,1.1734949982064515,,1.360452017373584
2394,Store B,8,Shelf 8,0.4171052631578947,0.19473684210526312,0.0,0.0,0.0,1.1801351211658577,,1.4536160739042991
2394,Store B,9,Shelf 9,0.4671052631578947,0.181578947368421,0.0,0.0,0.0,1.0822673478673464,,1.2271473029075137
2394,Store B,10,Shelf 10,0.4289473684210526,0.20131578947368417,0.005263157894736839,2.4999563055555556,0.006298716636485316,1.0308841319874051,0.39366290930722864,1.3035634908329854
2680,Store A,1,Shelf 1,6.392105263157895,2.7095394736842104,0.21973684210526315,6.637020555001368,0.1308660968585569,2.222330723668312,1.2382320516073928,2.239148257026346
2680,Store A,2,Shelf 2,6.176644736842105,2.585855263157895,0.2328947368421052,8.940722743236552,0.14318730078613975,2.307956400504975,1.4762482320140486,2.326571876306947
2680,Store A,3,Shelf 3,6.278947368421052,2.6259868421052635,0.22697368421052627,7.8302253103850505,0.14030971690031363,2.295758240284377,1.2481260668842773,2.3134060831551677
2680,Store A,4,Shelf 4,6.508881578947369,2.6542763157894735,0.244078947368421,7.942180661933355,0.14182806207403287,2.314523091348679,1.3851995274307485,2.3322071941467972
2680,Store A,5,Shelf 5,6.457894736842105,2.7023026315789473,0.22631578947368416,5.585804714118056,0.12933275990682197,2.2874435706963823,1.0604664745624732,2.304933267693361
